keys,en
"event_miner_search_fail","You find a few coins, but as you pull your hand out of his pocket, the madman bites your hand."
"event_miner_help_success","You apply a potion to the moss-covered mouth of the poor man. He doesn't seem able to move, but you notice tears forming in his eyes. A moment later, he falls asleep forever."
"event_miner_help_fail","You approach and see that the man is literally rooted to the cave. You try to cut the growths holding his body. The miner lets out a groan, breaks free from his bonds, and lunges at you."

"room_unknown","???"
"room_combat_normal","Combat"
"room_combat_elite","Elite Combat"
"room_combat_boss","Boss"
"room_combat","Combat"
"room_shop","Shop"
"room_event","Event"
"room_chest","Chest"
"room_trap","Trap"
"room_bonfire","Campfire"
"room_idol","Idol"
"room_torture_rack","Torture Rack"
"room_cauldron","Cauldron"
"room_object","Object"

"choice_panel_title","You found a note with a fork map"

"death_title","You have died..."
"death_stats_floor","Floor: %d"
"death_stats_biome","Biome: %s"
"death_lobby","To Lobby"
"death_retry","Retry Run"

"card_type_attack_desc","Deals damage to enemy."
"card_type_defend_desc","Provides defense."
"card_type_heal_desc","Restores health."
"card_type_buff_desc","Strengthens character."
"card_type_debuff_desc","Weakens enemy."
"card_type_utility_desc","Utility effect."
"card_type_resource_desc","Works with resources."

"status_poison_desc","Deals %d damage each turn. Reduces healing by %d%%."
"status_bleed_desc","Deals %d damage per stack each turn."
"status_burn_desc","Deals %d damage per stack each turn. Explodes at %d stacks."
"status_cold_desc","Reduces direct damage by %.0f%% per stack. Freezes at %d stacks."
"status_weakness_desc","Attacks deal %.0f%% less damage."
"status_vulnerability_desc","Takes %.0f%% more damage."
"status_strength_desc","Increases damage by %d per stack."
"status_regen_desc","Heals %d HP per stack at end of turn."
"status_shield_desc","Absorbs incoming damage. Resets at start of turn."
"status_frozen_desc","Frozen. Skips turn. Takes 50%% less damage."
"status_gangrene_desc","Deals all damage at once on the last turn."

"status_poison_dynamic_desc","Deals %d damage at turn start. Duration: %d turns."
"status_bleed_dynamic_desc","Deals %d × %d at turn start. Duration: %d turns."
"status_burn_dynamic_desc","Deals %d × %d at turn start. Duration: %d turns. Explodes at %d stacks."
"status_cold_dynamic_desc","Reduces direct damage by %.1f%%. Stacks: %d. Duration: %d turns. Freezes at %d stacks."
"status_strength_dynamic_desc","Increases damage by %d. Duration: %d turns."
"status_regen_dynamic_desc","Heals %d HP at end of turn. Duration: %d turns."
"status_shield_dynamic_desc","Absorbs %d damage. Duration: %d turns."
"status_gangrene_dynamic_desc","Accumulated damage: %d. Triggers on last turn. Duration: %d turns."
"status_weakness_dynamic_desc","Deals %.0f%% less damage. Duration: %d turns."
"status_vulnerability_dynamic_desc","Takes %.0f%% more damage. Duration: %d turns."

"passive_trigger_turn_start","At turn start"
"passive_trigger_turn_end","At turn end"
"passive_trigger_take_damage","When taking damage"
"passive_trigger_deal_damage","When dealing damage"
"passive_trigger_play_card","When playing a card"
"passive_trigger_apply_status","When applying a status"
"passive_trigger_gain_block","When gaining block"
"passive_trigger_kill_enemy","When killing an enemy"
"passive_trigger_status_tick","On status tick"
"passive_effect_apply_status","Applies %s %d %s for %d turns"
"passive_effect_heal","Heals %d HP"
"passive_effect_damage","Deals %d damage"
"passive_effect_block","Grants %d block"
"passive_effect_apply_passive","Applies %s passive"
"passive_modifier_damage_dealt","+%.0f%% damage dealt"
"passive_modifier_damage_taken","+%.0f%% damage taken"
"passive_modifier_atonement","+%.0f%% Atonement gained"
"passive_charges_turn_based","Charges: %d (turns)"
"passive_charges_usage_based","Charges: %d (uses)"
"passive_charges_conditional","Charges: %d (conditional)"
"passive_effect_apply_gangrene","Applies gangrene with %d stacks for %d turns"

"target_self","to self"
"target_enemy","to target"

"status_poison_additional","Stacks by duration. Ignores block."
"status_bleed_additional","Stacks are summed. Refreshes duration."
"status_burn_additional","Stacks are summed. Refreshes duration. At %d stacks explodes, damaging all enemies."
"status_cold_additional","Stacks are summed. Refreshes duration. At %d stacks freezes target."
"status_weakness_additional","Stacks by duration."
"status_vulnerability_additional","Stacks by duration."
"status_strength_additional","Added to final damage. Does not affect status effects"
"status_regen_additional","Stacks are summed. Refreshes duration."
"status_shield_additional","Stacks are summed. Refreshes duration. Resets at turn start."
"status_frozen_additional","If character — loses %d energy. If enemy — skips turn."
"status_gangrene_additional","Stacks are summed. Refreshes duration. Deals all damage on last turn."
"status_blister_name","Blister"
"status_blister_desc","Absorbs all incoming damage. Inflicts Burn on all enemies if destroyed in time. Deals damage to everyone in the room upon expiration."
"status_blister_additional","On destruction: %d Burn to all enemies for 2 turns. On expiration: %d damage to all."
"status_blister_dynamic_desc","Absorbs all incoming damage. Health: %d. Duration: %d turns."
"status_infection_name","Infection"
"status_infection_desc","The combination of Bleed and Poison infects the flesh with Infection."
"status_infection_dynamic_desc","Deals %d damage per stack each turn. Duration: %d turns."
"status_infection_additional","Damage per tick = Bleed stacks × %d. Reapplying sums the damage and refreshes duration."

"artifact_troll_blade_name","Troll Blade"
"artifact_troll_blade_desc","Enables Cold and Bleed interaction. If a target has both statuses, they disappear and transform into Gangrene. Gangrene accumulates damage and deals it all in one strike on the last turn."
"artifact_troll_blade_lore","A crude blade made from a troll's icy teeth. Its black frost turns blood to crystal and wounds to rot."
"artifact_imp_blade_name","Imp Blade"
"artifact_imp_blade_desc","Activates Poison and Burn interaction: combining these statuses creates Blister."
"artifact_imp_blade_lore","A blade forged from the claw of a fire imp. Its edge is covered in black soot, and its hilt is wrapped in leather. On impact, poison boils, turning the wound into Blister."
"artifact_plague_amulet_name","Plague Amulet"
"artifact_plague_amulet_desc","Activates Bleed and Poison interaction: combining these statuses creates Infection."
"artifact_plague_amulet_lore","A dark amulet woven from bones and rat tails. Shamans used it to blend blood and poison into a single infection."

"stat_health","Health"
"stat_max_health","Max Health"
"stat_energy","Energy"
"stat_max_energy","Max Energy"
"stat_hand_size","Hand Size"
"stat_draw_per_turn","Draw per Turn"
"stat_atonement","Atonement"
"stat_max_atonement","Max Atonement"

"effect_modify_stat_self","%s %s"
"effect_modify_stat_enemy","Enemy %s %s"
"effect_modify_stat_all_enemies","All Enemies %s %s"
"effect_modify_stat_all_allies","All Allies %s %s"
"effect_modify_stat_any","%s %s"

"effect_apply_passive_self","Gain passive %s%s"
"effect_apply_passive_enemy","Target gains passive %s%s"
"effect_apply_passive_all_enemies","All enemies gain passive %s%s"
"effect_apply_passive_all_allies","All allies gain passive %s%s"
"effect_apply_passive_any","Everyone in room gains passive %s%s"
"effect_apply_passive","%s%s"

"passive_charges_info"," (%d charges)"

"effect_damage_self","Deal %d damage to self"

"scaled_resource_atonement","Atonement"
"scaled_resource_health","Health"
"scaled_resource_max_health","Max Health"
"scaled_resource_energy","Energy"
"scaled_resource_block","Block"
"scaled_resource_enemy_statuses","number of statuses on enemy"
"scaled_resource_player_statuses","number of statuses on character"
"scaled_resource_burn_stacks","number of Burn stacks on character"
"scaled_resource_poison_stacks","number of Poison stacks on character"
"scaled_resource_bleed_stacks","number of Bleed stacks on character"

"scaled_type_damage","Damage"
"scaled_type_block","Block"
"scaled_type_heal","Heal"
"scaled_type_energy","Energy"
"scaled_type_draw","Draw"
"scaled_type_apply_status","Status"

"scaled_spend_resource"," Resource spent"

"effect_scaled_value_self","Gain %s (%s) based on %s (%s).%s"
"effect_scaled_value_enemy","Enemy gains %s (%s) based on %s (%s).%s"
"effect_scaled_value_all_enemies","All enemies gain %s (%s) based on %s (%s).%s"
"effect_scaled_value","%s (%s) based on %s (%s).%s"

"effect_scaled_damage_enemy","Deal (%s) damage to enemy based on %s (%s).%s"
"effect_scaled_damage_all_enemies","Deal (%s) damage to all enemies based on %s (%s).%s"
"effect_scaled_damage_any","Deal (%s) damage to everyone based on %s (%s).%s"
"effect_scaled_damage_self","Deal (%s) damage to self based on %s (%s).%s"

"card_is_burned","🔥 Burns"

"object_chest","Chest"
"object_shop","Shop"
"object_idol","Idol"
"object_trap","Trap"
"object_cauldron","Cauldron"
"object_torture_rack","Torture Rack"
"object_bonfire","Bonfire"
"object_event","Event"
"object_unknown","Object"

"result_chest_opened","Chest opened"
"result_no_keys","No keys"
"result_break_success","Lock broken"
"result_break_fail","You hurt yourself breaking the lock"
"result_offer_small","The deity consumed the bones"
"result_offer_medium","The deity is satisfied. Bones lost"
"result_offer_great","The deity is amazed by the offering"
"result_blood_offering","The deity accepted the blood sacrifice"
"result_loot_success","The deity abandoned this idol, but treasures remain"
"result_loot_fail","The deity curses you in future battles"
"result_trap_disarm_success","Trap disarmed. Path is clear"
"result_trap_disarm_fail","The trap mechanism triggered at your touch"
"result_trap_search_success","The trap was broken. Found something useful"
"result_trap_search_fail","The trap triggered while you were looting"
"result_craft_success","Masterful craftsmanship"
"result_craft_fail","You hurt yourself while crafting"
"result_flesh_sacrifice","Flesh lost forever"
"result_shop_trade","Shop is open to all"
"result_shop_rob","Betrayal will be punished"
"result_cauldron_transform","Cards hiss as they sink into the cauldron"
"result_cauldron_brew","Potion brewed"
"result_bonfire_rest","You feel renewed"
"result_bonfire_pray","You feel the presence of the gods"
"result_bonfire_sharp","You feel stronger"

"reward_card_biom_title","Choose a dungeon card"
"reward_card_character_title","Choose a character card"
"reward_card_without_choice_title","Take the card"
"reward_artifact_title","Choose an artifact"
"reward_artifact_without_choice_title","Take the artifact"
"reward_artifact_elite_title","Choose an elite artifact"
"reward_potion_title","Take the potion"
"reward_take_damage_title","Punishment"
"reward_get_heal_title","Blessing"
"reward_energy_buff_title","Accept the blessing"
"reward_deck_size_buff_title","Accept the blessing"
"reward_gold_title","Take the gold"
"reward_remove_card_title","Remove a card"
"reward_upgrade_card_title","Choose which card to upgrade"
"reward_add_property_title","Choose a property"
"reward_default_title","Receive"
"reward_lost_max_hp_title","Sacrifice"
"reward_transform_card_title","Transform a card (%d attempts left)"
"reward_transform_attempts_zero","No attempts left"
"reward_trade_title","Shop"

"enemy_toxic_imp_name","Toxic Imp"
"enemy_toxic_imp_desc","A mutated creature combining human and bat features. It feeds on blood, healing itself with every strike."

"enemy_thorny_bloom_name","Thorny Bloom"
"enemy_thorny_bloom_desc","A humanoid plant growing from toxic slime. Its thorns wound anyone who dares to approach."

"enemy_crested_toad_name","Crested Toad"
"enemy_crested_toad_desc","A mutated toad with a bony crest. Its skin is covered in poisonous glands."

"enemy_rotting_snail_name","Rotting Snail"
"enemy_rotting_snail_desc","A mutated mollusk with a rotting shell. Its slime hardens into a protective crust."

"enemy_rotten_porter_name","Rotten Porter"
"enemy_rotten_porter_desc","An anthropomorphic mass of rotting sludge. Its body pulses, and poisonous slime oozes from its sores."

"enemy_flesh_hound_name","Flesh Hound"
"enemy_flesh_hound_desc","A mutated hound with a carnivorous flower for a head. Its hunger and fury grow with each turn."

"enemy_master_of_rot_name","Master of Rot"
"enemy_master_of_rot_desc","A gigantic octopus-like being made of tangled vines and flesh. Every strike against it poisons, wounds, and weakens."

"passive_shell_name","Shell"
"passive_shell_desc","When taking damage gain Shield"
"passive_blooddrinker_name","Blooddrinker"
"passive_blooddrinker_desc","When dealing direct damage to a target with Bleed, restore health"
"passive_thorns_name","Thorns"
"passive_thorns_desc","Attacker takes damage"
"passive_rotting_shield_name","Rotting Shield"
"passive_rotting_shield_desc","When taking direct damage, weakens the attacker"

"card_snake_bite_name","Snake Bite"
"card_snake_bite_desc","Deal 3 damage, poison the target for 3 turns, and weaken it for 1 turn."
"card_swamp_blast_name","Swamp Blast"
"card_swamp_blast_desc","Deal 5 damage to all enemies and apply Vulnerability to them for 2 turns. Also gain Vulnerability for 2 turns."
"card_blessing_of_rot_name","Blessing of Rot"
"card_blessing_of_rot_desc","Heal for an amount equal to the current duration of Poison on you."
"card_weak_spot_name","Weak Spot"
"card_weak_spot_desc","Deal 7 damage if the target is Weakened, otherwise 4 damage."
"card_bloom_of_corruption_name","Bloom of Corruption"
"card_bloom_of_corruption_desc","Heal 5 health and gain Venomous Shield (5 charges). Burns."
"card_mud_splash_name","Mud Splash"
"card_mud_splash_desc","Deal 5 damage to target. Transfer all your statuses to the target."
"effect_transfer_statuses","Transfer all statuses to target"
"card_blood_infection_name","Blood Infection"
"card_blood_infection_desc","Apply Poison for 2 turns. If the target is already Poisoned, also apply Bleed (2 stacks, 2 turns)."
"card_foul_well_name","Foul Well"
"card_foul_well_desc","Apply Poison to all enemies for 2 turns. Gain 1 Denial charge for each enemy."
"effect_grant_denial_by_enemy_count","Gain Denial charge for each enemy"
"card_epidemic_name","Epidemic"
"card_epidemic_desc","Transfer all statuses from the target enemy to all other enemies"
"effect_epidemic","Spread statuses to all enemies"
"card_sting_of_corruption_name","Sting of Corruption"
"card_sting_of_corruption_desc","Absorbs all Poison in the room. Deals damage to target equal to the total Poison duration absorbed"

"artifact_arachnid_belt_name","Arachnid Belt"
"artifact_arachnid_belt_desc","Increases Poison damage by 1"
"artifact_arachnid_belt_lore","A belt made of spider-skin with a buckle shaped like a venomous spider. It is said to amplify any poison that touches its wearer."
"artifact_runic_helm_name","Runic Helm"
"artifact_runic_helm_desc","At the start of each battle, gain %d Shield"
"artifact_runic_helm_lore","An ancient helm covered in protective runes. It activates before every battle, creating an invisible barrier."
"artifact_dragon_brooch_name","Dragon Brooch"
"artifact_dragon_brooch_desc","When health drops below %d%%, gain Steel Hide (%d charges)"
"artifact_dragon_brooch_lore","A dragon-shaped brooch that awakens only when its wearer is on the brink of death."
"artifact_rusty_nail_name","Rusty Nail"
"artifact_rusty_nail_desc","When applying Weakness to an enemy, also apply Bleed (%d stack, %d turns)"
"artifact_rusty_nail_lore","An archaic nail found in the ruins. Its rust leaves wounds that never heal."
"artifact_thorn_crown_name","Thorn Crown"
"artifact_thorn_crown_desc","At the start of battle, take %d damage and gain Denial (%d charges)"
"artifact_thorn_crown_lore","A crown of thorns that digs into the wearer's flesh, but grants incredible resilience against curses."
"artifact_serrated_knuckle_name","Serrated Knuckle"
"artifact_serrated_knuckle_desc","Increases the duration of Bleed applied to enemies by 1 turn"
"artifact_serrated_knuckle_lore","An old knuckle with serrated edges. Wounds from it take a long time to heal."
"artifact_ring_of_barricade_name","Ring of Barricade"
"artifact_ring_of_barricade_desc","When taking %d or more damage from a single hit, gain %d Shield."
"artifact_ring_of_barricade_lore","A heavy iron ring with a shield engraved on its face. It is said to raise an invisible wall against mortal blows."
"artifact_lucky_pick_name","Lucky Pick"
"artifact_lucky_pick_desc","Lockpicking is always successful and yields more coins."
"artifact_lucky_pick_lore","A thin pick that never fails. It is said to bring luck in the most hopeless situations."

"result_break_success_lucky","Lockpicked successfully!"

"artifact_insatiable_blade_name","Insatiable Blade"
"artifact_insatiable_blade_desc","%d attacks in a single turn restore %d health"
"artifact_insatiable_blade_lore","An ancient blade with an eye on the crossguard. It hungers for blood and rewards those who feed it."
